Entity,Code,Year,poultry,beef and buffalo,sheep and goat,pig,Other,Fish and seafood,meat_total,air_passengers_2021,co2_total_2023,co2_per_capita_2023,geo_id,geo_name
Norway,NOR,2022.0,21.421572,18.623123,4.501418,25.683975,1.712929,49.664978,121.59,,38901000.0,7.0484023,578,Norway
Oceania,NAN,2022.0,34.952454,18.578514,7.969162,21.098286,10.599014,21.326342,114.53,,430302660.0,9.498823,,
Oceania (FAO),NAN,2022.0,34.97,18.59,7.97,21.1,10.6,21.35,114.57999999999998,,,,,
Oman,OMN,2022.0,18.459301,9.37477,11.609624,0.4837343,3.4635377,30.049576,73.42999999999999,2075390.0,78511300.0,15.5492115,512,Oman
Pakistan,PAK,2022.0,8.128534,9.744564,2.40953,,0.12579875,1.3644325,21.77,4930662.0,200666690.0,0.8107599,586,Pakistan
Panama,PAN,2022.0,50.770576,15.467594,0.010017872,12.031465,0.59105444,15.086916,93.96000000000002,8208378.0,14018338.0,3.1440282,591,Panama
Papua New Guinea,PNG,2022.0,3.4991245,0.9145439,2.3857667,8.797515,42.824516,7.236826,65.66,1039010.0,8322015.0,0.8009956,598,Papua New Guinea
Paraguay,PRY,2022.0,10.471413,10.661984,0.39117345,10.441322,0.31093276,5.396188,37.67,111964.0,8139286.0,1.189241,600,Paraguay
Peru,PER,2022.0,44.18513,4.272043,0.7730364,4.8314776,1.1493831,26.6901,81.89999999999999,9053965.0,55863636.0,1.6505452,604,Peru
Philippines,PHL,2022.0,15.950111,3.843034,0.27377814,15.321436,0.1622389,26.55648,62.1,6886922.0,154578660.0,1.3454357,608,Philippines
Poland,POL,2022.0,30.661991,0.25958338,0.031150006,53.62993,0.15575004,11.255536,96.0,3676185.0,289281540.0,7.4628654,616,Poland
Portugal,PRT,2022.0,32.359478,22.125128,2.257867,39.67536,0.62116,53.567654,150.62,8056494.5,37228136.0,3.5690997,620,Portugal
Qatar,QAT,2022.0,55.124554,17.200798,9.848994,0.22362901,0.3447614,22.689028,105.42,14832936.0,115711816.0,38.842007,634,Qatar
Romania,ROU,2022.0,22.144817,4.677182,3.1694062,39.468853,0.17436863,8.154298,77.78000000000002,2719206.0,68239480.0,3.569303,642,Romania
Russia,RUS,2022.0,34.026253,12.435537,1.4413693,29.334349,3.9861317,22.773634,104.0,96851770.0,1815924700.0,12.485692,643,Russia
Rwanda,RWA,2022.0,0.75690764,2.7248676,1.0394865,0.494513,1.2716049,5.257985,11.54,715763.6,1540220.0,0.110374995,646,Rwanda
Saudi Arabia,SAU,2022.0,51.56595,6.6649866,5.7144623,,2.3084164,13.352605,79.6,29403732.0,736205300.0,22.132036,682,Saudi Arabia
Senegal,SEN,2022.0,8.142664,6.366974,3.9045544,1.2263048,1.1085795,14.087789,34.84,359705.75,11900644.0,0.6583115,686,Senegal
Serbia,SRB,2022.0,12.185953,10.442064,4.487323,52.220955,0.0319004,8.432339,87.80000000000001,1276465.0,42357788.0,6.253774,688,Serbia
Sierra Leone,SLE,2022.0,5.780983,1.6947845,0.44709042,0.5614624,1.382861,24.995474,34.86,,1231506.0,0.14556001,694,Sierra Leone
Slovakia,SVK,2022.0,12.765223,7.0012813,0.11342282,41.358086,1.2579622,10.156498,72.66,8900.0,30739160.0,5.5706987,703,Slovakia
Slovenia,SVN,2022.0,25.967035,12.226855,0.79173905,21.226624,0.35077044,12.978506,73.55,21037.0,11328390.0,5.347735,705,Slovenia
Small Island Developing States (FAO),NAN,2022.0,24.84,5.39,1.34,10.43,7.94,11.58,61.52,,,,,
Somalia,SOM,2022.0,0.780932,3.123728,4.408806,0.009885215,2.7876306,1.6804867,12.79,,557614.0,0.03037349,706,Somalia
South Africa,ZAF,2022.0,37.993954,15.487553,2.6692746,5.607397,0.82574683,6.135491,68.73,9321576.0,401893100.0,6.3578267,710,South Africa
South America,NAN,2022.0,42.256535,27.645155,0.66027266,14.579897,0.54469395,9.806865,95.5,,1108965000.0,2.5627966,,
South America (FAO),NAN,2022.0,41.65,27.24,0.65,14.37,0.53,9.67,94.11,,,,,
South Korea,KOR,2022.0,21.82404,19.55258,0.55035406,41.36661,0.160103,55.69583,139.14999999999998,34020090.0,577416640.0,11.158091,410,South Korea
South Sudan,SSD,2022.0,4.723269,11.951751,3.85189,0.0,0.9109869,3.0003154,24.43,,1580456.0,0.13763057,728,S. Sudan
South-eastern Asia (FAO),NAN,2022.0,15.87,3.69,0.34,10.24,0.11,37.5,67.75,,,,,
Southern Africa (FAO),NAN,2022.0,35.14,15.13,2.69,5.49,1.46,6.21,66.12,,,,,
Southern Asia (FAO),NAN,2022.0,4.92,3.18,01.08,0.18,0.13,9.46,18.950000000000003,,,,,
Southern Europe (FAO),NAN,2022.0,25.0,14.9,2.14,41.45,1.15,31.08,115.72,,,,,
Spain,ESP,2022.0,31.918982,12.847142,1.8594549,56.18139,1.3523308,39.824154,143.98,43440480.0,221615650.0,4.6255174,724,Spain
Sri Lanka,LKA,2022.0,9.971977,1.2142292,0.13385203,0.06692602,0.0,22.869577,34.25,871685.0,20317522.0,0.88446397,144,Sri Lanka
Sudan,SDN,2022.0,1.6041335,7.156903,6.606372,0.0,3.008937,0.8922399,19.270000000000003,1386967.0,20001454.0,0.39968732,729,Sudan
Suriname,SUR,2022.0,45.039215,5.028602,0.039673388,8.232228,0.08926513,16.831434,75.26,20181.0,2647446.0,4.2100472,740,Suriname
Sweden,SWE,2022.0,16.446754,22.13019,1.3177521,28.36688,0.2112427,30.811258,99.29,20067144.0,36556280.0,3.464577,752,Sweden
Switzerland,CHE,2022.0,17.904182,18.570246,1.2625381,27.537249,1.014007,16.611818,82.89,10988881.0,32737300.0,3.6905727,756,Switzerland
Syria,SYR,2022.0,5.1614146,2.2458065,8.727125,0.08865026,0.09850029,1.704055,18.03,672219.0,25503272.0,1.0808959,760,Syria
Taiwan,TWN,2022.0,41.726643,8.763615,0.816169,38.951668,0.0816169,30.269669,120.61,,261152590.0,11.200046,158,Taiwan
Tajikistan,TJK,2022.0,2.688045,24.3488,7.526526,0.34211484,0.17594478,0.9285974,36.02,125163.51,9054525.0,0.8714852,762,Tajikistan
Tanzania,TZA,2022.0,1.5789473,7.7530365,1.4878542,0.6983806,0.41497976,6.589069,18.52,1146973.0,18066046.0,0.27119046,834,Tanzania
Thailand,THA,2022.0,11.154051,1.6191363,0.039978676,13.023053,0.07995735,28.604744,54.51,12734583.0,264388640.0,3.6873055,764,Thailand
Togo,TGO,2022.0,5.324975,0.8956083,1.2168591,2.2292857,0.71064574,8.508278,18.89,672184.0,2620035.0,0.28159434,768,Togo
Trinidad and Tobago,TTO,2022.0,48.228237,6.898521,1.6376312,7.1339307,0.2251743,18.761112,82.89,652148.0,34317936.0,22.834675,780,Trinidad and Tobago
Tunisia,TUN,2022.0,19.809704,4.3738356,5.841976,0.010195421,0.7850474,15.986421,46.81,1675777.0,32792874.0,2.6878552,788,Tunisia
Turkey,TUR,2022.0,20.74263,18.193914,6.9011397,0.0,0.01960551,5.3326993,51.18,69065870.0,432077340.0,4.9510155,792,Turkey
Turkmenistan,TKM,2022.0,9.952815,22.369373,18.091177,0.062260684,1.9834476,2.410378,54.86,648370.1,63362624.0,8.603915,795,Turkmenistan
Uganda,UGA,2022.0,1.4580532,3.9647064,0.7889466,2.7363465,0.64913327,15.848839,25.45,16490.0,5613657.0,0.1153731,800,Uganda
Ukraine,UKR,2022.0,22.119541,5.996552,0.2611402,17.651142,0.35785878,15.494318,61.88,3282709.0,136460590.0,3.6164997,804,Ukraine
